2023-08-21 04:50:36,415 - INFO - [Model_4_1] start
2023-08-21 04:50:49,973 - INFO - [Model_4_1] [1, 14, 1] is being processed, and draw_message_list: 0
2023-08-21 04:50:54,980 - INFO - [Model_4_1] [1, 4, 4] is being processed, and draw_message_list: 0
2023-08-21 04:50:59,989 - INFO - [Model_4_1] [1, 61, 4] is being processed, and draw_message_list: 8
2023-08-21 04:51:05,031 - INFO - [Model_4_1] [1, 41, 6] is being processed, and draw_message_list: 35
2023-08-21 04:51:10,039 - INFO - [Model_4_1] [1, 120, 3] is being processed, and draw_message_list: 23
2023-08-21 04:51:15,150 - INFO - [Model_4_1] [1, 138, 1] is being processed, and draw_message_list: 31
2023-08-21 04:51:20,173 - INFO - [Model_4_1] [2, 1, 3] is being processed, and draw_message_list: 25
2023-08-21 04:51:25,297 - INFO - [Model_4_1] [1, 145, 4] is being processed, and draw_message_list: 23
2023-08-21 04:51:30,307 - INFO - [Model_4_1] [2, 18, 1] is being processed, and draw_message_list: 18
2023-08-21 04:51:40,733 - INFO - [Model_4_1] [2, 172, 1] is being processed, and draw_message_list: 0
2023-08-21 04:51:46,551 - INFO - [Model_4_1] [3, 1, 3] is being processed, and draw_message_list: 0
2023-08-21 04:51:51,679 - INFO - [Model_4_1] [3, 9, 13] is being processed, and draw_message_list: 0
2023-08-21 04:51:56,728 - INFO - [Model_4_1] [3, 25, 9] is being processed, and draw_message_list: 0
2023-08-21 04:52:01,737 - INFO - [Model_4_1] [3, 38, 6] is being processed, and draw_message_list: 0
2023-08-21 04:52:06,748 - INFO - [Model_4_1] [3, 48, 8] is being processed, and draw_message_list: 0
2023-08-21 04:52:11,757 - INFO - [Model_4_1] [3, 58, 11] is being processed, and draw_message_list: 0
2023-08-21 04:52:16,770 - INFO - [Model_4_1] [3, 68, 10] is being processed, and draw_message_list: 0
2023-08-21 04:52:21,849 - INFO - [Model_4_1] [3, 79, 2] is being processed, and draw_message_list: 2
2023-08-21 04:52:26,930 - INFO - [Model_4_1] [4, 131, 1] is being processed, and draw_message_list: 14
2023-08-21 04:52:31,949 - INFO - [Model_4_1] [5, 13, 6] is being processed, and draw_message_list: 0
2023-08-21 04:52:36,981 - INFO - [Model_4_1] [5, 23, 8] is being processed, and draw_message_list: 1
2023-08-21 04:52:41,991 - INFO - [Model_4_1] [5, 34, 1] is being processed, and draw_message_list: 0
2023-08-21 04:52:46,997 - INFO - [Model_4_1] [5, 42, 8] is being processed, and draw_message_list: 0
2023-08-21 04:52:52,012 - INFO - [Model_4_1] [5, 53, 6] is being processed, and draw_message_list: 1
2023-08-21 04:52:57,057 - INFO - [Model_4_1] [5, 64, 8] is being processed, and draw_message_list: 0
2023-08-21 04:53:02,067 - INFO - [Model_4_1] [5, 78, 3] is being processed, and draw_message_list: 0
2023-08-21 04:53:07,089 - INFO - [Model_4_1] [5, 92, 8] is being processed, and draw_message_list: 1
2023-08-21 04:53:12,141 - INFO - [Model_4_1] [5, 105, 5] is being processed, and draw_message_list: 1
2023-08-21 04:53:17,185 - INFO - [Model_4_1] [5, 117, 3] is being processed, and draw_message_list: 1
2023-08-21 04:53:22,254 - INFO - [Model_4_1] [5, 135, 2] is being processed, and draw_message_list: 1
2023-08-21 04:53:27,267 - INFO - [Model_4_1] [5, 152, 3] is being processed, and draw_message_list: 0
2023-08-21 04:53:32,307 - INFO - [Model_4_1] [5, 169, 5] is being processed, and draw_message_list: 1
2023-08-21 04:53:37,333 - INFO - [Model_4_1] [5, 186, 5] is being processed, and draw_message_list: 1
2023-08-21 04:53:42,354 - INFO - [Model_4_1] [5, 199, 14] is being processed, and draw_message_list: 1
2023-08-21 04:53:47,389 - INFO - [Model_4_1] [5, 213, 9] is being processed, and draw_message_list: 0
2023-08-21 04:53:52,400 - INFO - [Model_4_1] [5, 226, 5] is being processed, and draw_message_list: 0
2023-08-21 04:53:57,430 - INFO - [Model_4_1] [5, 239, 4] is being processed, and draw_message_list: 0
2023-08-21 04:54:02,441 - INFO - [Model_4_1] [5, 253, 6] is being processed, and draw_message_list: 0
2023-08-21 04:54:07,456 - INFO - [Model_4_1] [5, 269, 6] is being processed, and draw_message_list: 0
2023-08-21 04:54:12,472 - INFO - [Model_4_1] [5, 283, 8] is being processed, and draw_message_list: 0
2023-08-21 04:54:17,546 - INFO - [Model_4_1] [5, 297, 3] is being processed, and draw_message_list: 1
2023-08-21 04:54:19,790 - INFO - [Model_4_1] self.draw_message_list: 3
2023-08-21 04:54:19,791 - INFO - [Model_4_1] end
2023-08-21 04:54:19,791 - INFO - [Model_4_1] self.end_signal.value: 0
